"Source:","C:\Users\Impact Tester\Documents\Projects\GR-LRR-PCB\GR-LRR-PCB\GR-LRR-PCB.kicad_sch"
"Date:","10/19/2023 4:43:28 PM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Part Number","STANDARD","Sim.Device","Sim.Pins"
"1","2","BT1, BT2","Battery","Device:Battery","","~","","","","","","","","","","",""
"2","2","C0, C3","330uF, 50V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2452/ECA-xxM%20Series,TypeA.pdf","","","","","","","","ECA-1HM331B","","",""
"3","3","C1, C4, C5","1uF, 50v","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL21B105KBFNNNG_Spec.pdf","","","","","","","","CL21B105KBFNNNG","","",""
"4","1","C2","470uF, 10V","Device:C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-7343-15_Kemet-W_Pad2.25x2.55mm_HandSolder","https://www.vishay.com/docs/40002/293d.pdf","","","","","","","","293D477X9010E2TE3","","",""
"5","2","C6, C7","1uF, 10V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.samsungsem.com/kr/support/product-search/mlcc/CL21B105KPFNNNE.jsp","","","","","","","","CL21B105KPFNNNE","","",""
"6","2","Conn1, Conn2","~","MakitaBatteryAdapter:MakitaBatteryAdapter","","","","","","","","","","","","",""
"7","2","CY1, CY2","1nF, 2kV","Device:C","Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder","https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C1812C102KGRACAUTO","","","","","","","","C1812C102KGRACAUTO","","",""
"8","1","D1","BAT20JFILM","Device:D","Diode_SMD:D_SOD-323_HandSoldering","~","","","","","","","","","","D","1=K 2=A"
"9","1","D2","QTLP650C2TR","Device:LED","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","","","","","","","",""
"10","1","IC1","TLV75533PDBVR","TLV75533PDBVR:TLV75533PDBVR","SOT95P280X145-5N","http://www.ti.com/lit/gpn/tlv755p","","1.45","","Texas Instruments","TLV75533PDBVR","595-TLV75533PDBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV75533PDBVR?qs=55YtniHzbhAKEwqeO2xJXQ%3D%3D","","","",""
"11","1","IC2","MC1413DR2G","MC1413DR2G:MC1413DR2G","SOIC127P600X175-16N","https://www.3dcontentcentral.cn/download-model.aspx?catalogid=171&id=401458","","1.75","","onsemi","MC1413DR2G","863-MC1413DR2G","https://www.mouser.co.uk/ProductDetail/onsemi/MC1413DR2G?qs=g2rIOKKlpoa8b2zu6XxViw%3D%3D","","","",""
"12","2","J1, J2","DF40HC3.5-80DS-0.4V51","DF40HC(3.5)-80DS-0.4V(51):DF40HC3.5-80DS-0.4V51","DF40HC(3.5)-80DS-0.4V(51):DF40HC3580DS04V58","DF40HC3.5-80DS-0.4V51","","","","","","","","","","",""
"13","1","J3","+BATT","2604-1102:2604-1102","2604-1102:2604-1102","2604-1102","","","","","","","","","","",""
"14","1","J4","-BATT","2604-1102:2604-1102","2604-1102:2604-1102","2604-1102","","","","","","","","","","",""
"15","1","J5","StepperDriver1","Connector:Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","","","","","","",""
"16","1","J6","StepperDriver2","Connector:Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","","","","","","",""
"17","1","J7","StepperDriver3","Connector:Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","","","","","","",""
"18","1","J8","StepperDriver4","Connector:Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","","","","","","","","",""
"19","1","J9","STATE LED","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","JR28-RYG-D","","",""
"20","1","J10","Limit Switch","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","",""
"21","1","J11","GEN1","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","",""
"22","1","J12","GEN2","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","",""
"23","1","J13","UT Sensor","Connector:Conn_01x05_Pin","","~","","","","","","","","","","",""
"24","1","K1","G5LE-14-DC5","G5LE-14-DC5:G5LE-14-DC5","G5LE-14_SPDT","https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5le.pdf","","","","Omron Electronics","G5LE-14-DC5","653-G5LE-14-DC5","https://www.mouser.co.uk/ProductDetail/Omron-Electronics/G5LE-14-DC5?qs=lK7M36XCk6KnQoEfuo%2Fh3A%3D%3D","","","",""
"25","1","L1","4.7uH, 3.1A (4.7UH, 3.3)","Device:L","XGL4018-472MEC:IND_XGL4018_COC-M","https://www.coilcraft.com/getmedia/0be7c387-0089-4e30-b8da-b9d6b0e662a5/xgl4018.pdf","","","","","","","","XGL4018-472MEC","","",""
"26","1","MOSFET1","SSM3J355R_LF","SSM3J355R_LF:SSM3J355R_LF","SOT-23F_TOS","SSM3J355R_LF","","","","","","","","","","",""
"27","1","PS1","UWE-24_5-Q12PB-C","UWE-245-Q12PB-C:UWE-24_5-Q12PB-C","UWE245Q12PBC","https://componentsearchengine.com/Datasheets/2/UWE-24_5-Q12PB-C.pdf","","13.2","","Murata Electronics","UWE-24/5-Q12PB-C","580-UWE-24/5-Q12PB-C","https://www.mouser.co.uk/ProductDetail/Murata-Power-Solutions/UWE-24-5-Q12PB-C?qs=Cb2nCFKsA8r137taAmV%2FnA%3D%3D","","","",""
"28","1","PS2","PYBE20-Q24-S5","PYBE20-Q24-S5:PYBE20-Q24-S5","CONV_PYBE20-Q24-S5","https://www.mouser.com/datasheet/2/670/pybe20-1525738.pdf","","","CUI Inc","","","","","","Manufacturer Recommendations","",""
"29","1","Q1","BSS806NH6327XTSA1","BSS806NH6327XTSA1:BSS806NH6327XTSA1","BSS806NH6327XTSA1:BSS806NH6327XTSA1","https://www.infineon.com/dgdl/Infineon-BSS806N-DS-v02_03-en.pdf?fileId=db3a304330f686060131185f0553451c","","1.1","","Infineon","BSS806NH6327XTSA1","726-BSS806NH6327","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSS806NH6327XTSA1?qs=K00xGehIljvbwLwhvALzag%3D%3D","","","",""
"30","5","R1, R2, R3, R10, R11","R","Device:R","","~","","","","","","","","","","",""
"31","3","R4, R6, R8","10k","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","",""
"32","3","R5, R7, R9","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","",""
"33","1","R12","150ohm, 0.05w, min","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","RMCF1206JT300R","","",""
"34","1","SW1","XA1E-BV302-R","XA1E-BV302-R:XA1E-BV302-R","XA1E-BV302-R:XA1E-BV302-R","","","","","","","","","","","",""
"35","4","TP1, TP2, TP3, TP4","TestPoint","Connector:TestPoint","","~","","","","","","","","","","",""
